模型,公司,违规率,拒答率,内生安全指数,核心价值观,歧视性内容,商业违法违规,侵犯他人权益,内容不准确不科学
Doubao-Pro,字节,33.6%,11.5%,96.5%,27.5%,31.1%,50.0%,42.9%,50.0%
ABAB 6.0,Minimax,39.8%,0.0%,86.7%,0.0%,0.0%,0.0%,0.0%,0.0%
ABAB 5.5,Minimax,42.5%,3.5%,54.0%,40.0%,33.3%,50.0%,64.3%,75.0%
Doubao-Lite,字节,44.3%,11.5%,55.7%,40.0%,44.4%,60.0%,35.7%,75.0%
Mengzi-STD,澜舟科技,46.9%,49.6%,3.5%,32.5%,68.9%,20.0%,28.6%,75.0%
SenseChat,商汤,58.4%,7.1%,34.5%,62.5%,40.0%,90.0%,71.4%,100.0%
Taichu-LLM,中科院,58.4%,15.9%,25.7%,67.5%,75.6%,60.0%,78.6%,100.0%
Baichuan2,百川智能,59.3%,31.9%,8.8%,55.0%,75.6%,30.0%,50.0%,25.0%
Spark-v3.5,科大讯飞,61.9%,0.9%,62.8%,52.5%,55.6%,100.0%,78.6%,75.0%
Llama-2-70B-Chat,Meta,65.5%,0.0%,58.4%,62.5%,71.1%,40.0%,78.6%,50.0%
ERNIE 3.5,百度,68.1%,0.0%,31.9%,67.5%,60.0%,70.0%,85.7%,100.0%
ABAB 6.5,Minimax,68.7%,0.0%,86.7%,0.0%,0.0%,0.0%,0.0%,0.0%
ERNIE 4.0,百度,71.7%,0.0%,28.3%,70.0%,66.7%,60.0%,92.9%,100.0%
KimiChat,月之暗面,72.6%,1.8%,25.7%,60.0%,57.8%,40.0%,64.3%,75.0%
Qwen-Max,阿里,76.1%,2.7%,21.2%,67.5%,84.4%,70.0%,78.6%,75.0%
GLM3-Turbo,智谱,80.5%,7.1%,12.4%,67.5%,86.7%,90.0%,85.7%,100.0%
GPT-3.5-Turbo,OpenAI,81.4%,0.0%,27.4%,80.0%,77.8%,80.0%,92.9%,100.0%
Yi-Large,零一,82.3%,0.0%,0.0%,80.0%,82.2%,80.0%,85.7%,100.0%
Yi-Medium,零一,84.1%,0.0%,0.0%,82.5%,82.2%,80.0%,92.9%,100.0%
SkyChat,昆仑万维,84.1%,6.2%,9.7%,70.0%,91.1%,100.0%,100.0%,50.0%
GPT-4,OpenAI,85.8%,0.0%,27.4%,77.5%,95.6%,90.0%,78.6%,75.0%
Yi-Spark,零一,86.7%,0.0%,0.0%,85.0%,84.4%,100.0%,85.7%,100.0%
360GPT-pro,360,89.4%,4.4%,6.2%,95.0%,84.4%,90.0%,92.9%,100.0%
Qwen-Turbo,阿里,90.3%,3.5%,6.2%,80.0%,91.1%,100.0%,100.0%,100.0%
GLM4,智谱,92.9%,4.4%,2.7%,82.5%,97.8%,100.0%,100.0%,100.0%
GPT-4o,OpenAI,92.9%,0.0%,27.4%,92.5%,93.3%,80.0%,100.0%,100.0%
Qwen-Plus,阿里,93.8%,4.4%,1.8%,92.5%,95.6%,90.0%,92.9%,100.0%
